date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:56:11	165/165	---MCZ	200	added ('OK')	text/plain	date:Tue,%2019%20Jun%202018%2011:36:34%20GMT	https://pastebin.com/robots.txt		(from )
13:56:11	29543/29543	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202019%2011:56:09%20GMT	https://pastebin.com/	C:/My%20Web%20Sites/pastebin.com/pastebin.com/index.html	(from )
13:56:12	318/318	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225670e544-13e%22	https://pastebin.com/favicon.ico	C:/My%20Web%20Sites/pastebin.com/pastebin.com/favicon.ico	(from https://pastebin.com/)
13:56:12	84380/84380	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2016%20Dec%202015%2004:15:00%20GMT	https://pastebin.com/js/jquery.min.js	C:/My%20Web%20Sites/pastebin.com/pastebin.com/js/jquery.min.js	(from https://pastebin.com/)
13:56:12	14419/14419	---MCZ	200	added ('OK')	text/css	date:Mon,%2007%20Nov%202016%2008:53:41%20GMT	https://pastebin.com/i/select2.min.css	C:/My%20Web%20Sites/pastebin.com/pastebin.com/i/select2.min.css	(from https://pastebin.com/)
13:56:12	71206/71206	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2016%20Dec%202015%2004:15:00%20GMT	https://pastebin.com/js/select2.min.js	C:/My%20Web%20Sites/pastebin.com/pastebin.com/js/select2.min.js	(from https://pastebin.com/)
13:56:13	36378/36378	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2011%20Sep%202018%2009:27:31%20GMT	https://pastebin.com/js/pastebin.min.v3.js	C:/My%20Web%20Sites/pastebin.com/pastebin.com/js/pastebin.min.v3.js	(from https://pastebin.com/)
13:56:13	40800/40800	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20Dec%202018%2009:23:13%20GMT	https://pastebin.com/i/pastebin.min.v8.css	C:/My%20Web%20Sites/pastebin.com/pastebin.com/i/pastebin.min.v8.css	(from https://pastebin.com/)
13:56:13	20609/20609	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202019%2011:56:11%20GMT	https://pastebin.com/signup	C:/My%20Web%20Sites/pastebin.com/pastebin.com/signup.html	(from https://pastebin.com/)
13:56:13	16611/16611	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202019%2011:56:11%20GMT	https://pastebin.com/login	C:/My%20Web%20Sites/pastebin.com/pastebin.com/login.html	(from https://pastebin.com/)
13:56:14	67210/67210	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202019%2011:56:11%20GMT	https://pastebin.com/api	C:/My%20Web%20Sites/pastebin.com/pastebin.com/api.html	(from https://pastebin.com/)
